source,organ,argmax_count,argmax_percent,target_mass,target_mass_percent
train,lung_epithelium,1141,0.5382075471698113,1140.0,0.5377358490566038
train,liver,578,0.27264150943396226,489.09999999999957,0.23070754716981112
train,muscle,294,0.13867924528301886,295.0,0.1391509433962264
train,spleen,0,0.0,63.100000000000044,0.029764150943396246
train,bone_marrow,80,0.03773584905660377,80.0,0.03773584905660377
train,heart,0,0.0,8.600000000000001,0.004056603773584906
train,lung,0,0.0,8.600000000000001,0.004056603773584906
train,kidney,0,0.0,8.600000000000001,0.004056603773584906
train,ear,27,0.012735849056603774,27.0,0.012735849056603774
valid,lung_epithelium,306,0.5773584905660377,306.0,0.5773584905660377
valid,liver,126,0.23773584905660378,110.00000000000003,0.20754716981132082
valid,muscle,73,0.13773584905660377,73.0,0.13773584905660377
valid,spleen,0,0.0,10.0,0.018867924528301886
valid,bone_marrow,16,0.03018867924528302,16.0,0.03018867924528302
valid,heart,0,0.0,1.9999999999999998,0.003773584905660377
valid,lung,0,0.0,1.9999999999999998,0.003773584905660377
valid,kidney,0,0.0,1.9999999999999998,0.003773584905660377
valid,ear,9,0.016981132075471698,9.0,0.016981132075471698
test,lung_epithelium,358,0.5399698340874811,357.0,0.5384615384615384
test,liver,146,0.22021116138763197,121.35000000000002,0.18303167420814484
test,muscle,112,0.1689291101055807,113.0,0.17043740573152338
test,spleen,0,0.0,19.349999999999994,0.02918552036199094
test,bone_marrow,34,0.05128205128205128,34.0,0.05128205128205128
test,heart,0,0.0,1.8499999999999999,0.0027903469079939664
test,lung,0,0.0,1.8499999999999999,0.0027903469079939664
test,kidney,0,0.0,1.5999999999999999,0.0024132730015082953
test,ear,13,0.0196078431372549,13.0,0.0196078431372549
