source,component_type,count,unique_smiles,percent_min,percent_mean,percent_median,percent_max
train,CH,2120,4,0.10204081632653061,0.38526850631375364,0.385,0.616
train,HL,2120,4,0.06741850033202255,0.1837417272993608,0.16,0.42544131571701765
train,IL,2120,1104,0.15275787608166908,0.40837473246886535,0.39708727709006997,0.7307219868219216
train,PEG,1939,7,0.006788037349728477,0.024726081436927706,0.025,0.0583199160094168
valid,CH,530,2,0.10204081632653061,0.3903434170108253,0.39913787662791234,0.616
valid,HL,530,4,0.07338346865,0.18054954902670867,0.16,0.4221650581873351
valid,IL,530,345,0.16992495259660148,0.4055322795530507,0.4014517680379575,0.72200110159278
valid,PEG,488,3,0.006998236419930018,0.025603729174160105,0.025,0.056330201881126606
test,CH,663,3,0.10204081632653061,0.3804132315926803,0.385,0.5672636876510537
test,HL,663,4,0.06738152946404288,0.18917544404825726,0.16,0.4248530352212427
test,IL,663,411,0.17089723310683588,0.4083275520657456,0.40609137055837563,0.730617032843837
test,PEG,602,3,0.006728129180403687,0.02432149672835392,0.023826642591421855,0.06011582358458958
